model,count,total,ok,failed,success_rate,accuracy_percent,calibrated_cer_mean,speaker_similarity_mean
Higgs Audio v3,1020,1020,1020,0,1.0,78.20747077964316,0.21792529220356838,0.5199083127775321
OmniVoice,1020,1020,1020,0,1.0,75.89131121366096,0.24108688786339044,0.6449890864392122
SE-Bridge-TTS,1020,1020,1020,0,1.0,83.41113986039058,0.16588860139609432,0.593156439299677
X-Voice Stage1,510,1020,510,510,0.5,53.68928413856609,0.4631071586143391,0.36092727854847906
