model,language_id,language_name,count,total,ok,failed,success_rate,accuracy_percent,calibrated_cer_mean,speaker_similarity_mean
Higgs Audio v3,lo,Lao,255,255,255,0,1.0,76.69601853095857,0.23303981469041435,0.6994206237150173
Higgs Audio v3,th,Thai,255,255,255,0,1.0,99.05487686453125,0.009451231354687561,0.7608743084411995
OmniVoice,lo,Lao,255,255,255,0,1.0,60.88430285073816,0.3911569714926184,0.7709100935973373
OmniVoice,th,Thai,255,255,255,0,1.0,97.90184472979499,0.020981552702050193,0.7935501972834269
SE-Bridge-TTS,lo,Lao,255,255,255,0,1.0,78.30097044960864,0.21699029550391352,0.6937814493974049
SE-Bridge-TTS,th,Thai,255,255,255,0,1.0,97.36234105321935,0.026376589467806393,0.7632312690510469
X-Voice Stage1,th,Thai,253,255,253,2,0.9921568627450981,81.21343568179682,0.18786564318203183,0.7736680179009796
